manufacturer_name,model_pattern,image_filename
BMW,BMW X5,BMW_X5_xDrive30d.jpg
BMW,BMW X7,BMW_X7_xDrive40i.jpg
KG 모빌리티,렉스턴,KG_모빌리티_렉스턴.jpg
KG 모빌리티,토레스,KG_모빌리티_토레스.jpg
기아,카니발,기아_카니발.jpg
기아,니로,기아_니로.jpg
기아,쏘렌토,기아_쏘렌토.jpg
기아,스포티지,기아_스포티지.jpg
르노코리아,ARKANA,르노코리아_ARKANA.jpg
르노코리아,QM6,르노코리아_QM6.jpg
메르세데스 벤츠,GLA,메르세데스_벤츠_Mercedes-Benz_GLA250_4MATIC.jpg
볼보,XC90,볼보_볼보_XC90D5_AWD.jpg
재규어랜드로버,F-PACE,재규어랜드로버_재규어_F-PACE_20d.jpg
재규어랜드로버,I-PACE,재규어랜드로버_재규어_I-PACE_EV400.jpg
토요타,RAV4,토요타_토요타_RAV4_Hybrid_AWD.jpg
토요타,Sienna,토요타_토요타_Sienna_4WD.jpg
포드,Explorer,포드_Explorer_2.3.jpg
현대자동차,스타리아,현대자동차_스타리아_STARIA.jpg
현대자동차,SANTAFE,현대자동차_싼타페_SANTAFE.jpg
현대자동차,싼타페,현대자동차_싼타페_SANTAFE.jpg
현대자동차,KONA,현대자동차_코나_KONA.jpg
현대자동차,코나,현대자동차_코나_KONA.jpg
현대자동차,TUCSON,현대자동차_투싼_TUCSON.jpg
현대자동차,투싼,현대자동차_투싼_TUCSON.jpg
현대자동차,PALISADE,현대자동차_팰리세이드_PALISADE.jpg
현대자동차,팰리세이드,현대자동차_팰리세이드_PALISADE.jpg
혼다코리아,CR-V,혼다코리아_CR-V_4WD.jpg
KG 모빌리티,티볼리,KG_모빌리티_티볼리.jpg
기아,모하비,기아_모하비.jpg
기아,카렌스,기아_카렌스.jpg
르노코리아,CAPTUR,르노코리아_CAPTUR.jpg
르노코리아,KOLEOS,르노코리아_KOLEOS_대표.jpg
르노코리아,QM3,르노코리아_QM3.jpg
르노코리아,QM5,르노코리아_QM5.jpg
르노코리아,XM3,르노코리아_XM3.jpg
메르세데스 벤츠,GLK,메르세데스_벤츠_GLK.jpg
메르세데스 벤츠,ML,메르세데스_벤츠_ML.jpg
메르세데스 벤츠,EQA,메르세데스_벤츠_EQA.jpg
메르세데스 벤츠,EQB,메르세데스_벤츠_EQB.jpg
메르세데스 벤츠,GLB,메르세데스_벤츠_GLB.jpg
메르세데스 벤츠,GLE,메르세데스_벤츠_GLE.jpg
재규어랜드로버,E-PACE,재규어랜드로버_재규어_E-PACE.jpg
재규어랜드로버,프리랜더,재규어랜드로버_랜드로버_프리랜더.jpg
토요타,RX500h,토요타_렉서스_RX500h.jpg
토요타,Alphard,토요타_Alphard.jpg
현대자동차,GV70,현대자동차_GV70.jpg
현대자동차,GV80,현대자동차_GV80.jpg
현대자동차,그랜드 스타렉스,현대자동차_그랜드_스타렉스.jpg
