received_date,manufacturer_name,model_name,model_year,vehicle_type
2019-01-02,기아,모하비,2018,SUV
2019-01-02,기아,니로 하이브리드,2018,SUV
2019-01-03,기아,니로 PHEV,2018,SUV
2019-01-03,기아,카니발,2019,MPV/미니밴
2019-01-04,기아,스포티지,2011,SUV
2019-01-04,현대자동차,싼타페(SANTAFE),2014,SUV
2019-01-04,혼다코리아,ODYSSEY,2015,MPV/미니밴
2019-01-04,현대자동차,투싼(TUCSON),2019,SUV
2019-01-07,르노코리아,QM5,2013,SUV
2019-01-07,현대자동차,싼타페(SANTAFE),2014,SUV
2019-01-08,볼보,볼보 XC90D5 AWD,2018,SUV
2019-01-08,기아,스포티지,2017,SUV
2019-01-08,볼보,볼보 XC90D5 AWD,2018,SUV
2019-01-09,현대자동차,싼타페(SANTAFE),2013,SUV
2019-01-09,현대자동차,투싼(TUCSON),2019,SUV
2019-01-09,KG 모빌리티,티볼리 에어,2018,SUV
2019-01-09,기아,스포티지,2009,SUV
2019-01-09,기아,카니발,2019,MPV/미니밴
2019-01-09,KG 모빌리티,G4 렉스턴,2019,SUV
2019-01-11,기아,스포티지,2012,SUV
2019-01-11,기아,니로 하이브리드,2017,SUV
2019-01-14,현대자동차,투싼(TUCSON),2019,SUV
2019-01-14,기아,쏘렌토,2016,SUV
2019-01-14,기아,니로 하이브리드,2017,SUV
2019-01-14,기아,니로 하이브리드,2017,SUV
2019-01-15,기아,카니발,2018,MPV/미니밴
2019-01-16,기아,쏘렌토,2018,SUV
2019-01-16,르노코리아,QM3,2014,SUV
2019-01-16,현대자동차,투싼(TUCSON),2017,SUV
2019-01-16,기아,니로 하이브리드,2018,SUV
2019-01-16,KG 모빌리티,렉스턴스포츠,2019,SUV
2019-01-16,현대자동차,싼타페(SANTAFE),2013,SUV
2019-01-21,현대자동차,투싼(TUCSON),2017,SUV
2019-01-21,BMW,BMW X5 xDrive30d,2015,SUV
2019-01-21,KG 모빌리티,티볼리,2018,SUV
2019-01-21,기아,카니발,2019,MPV/미니밴
2019-01-21,현대자동차,투싼(TUCSON),2017,SUV
2019-01-22,현대자동차,투싼(TUCSON),2016,SUV
2019-01-22,기아,카니발,2015,MPV/미니밴
2019-01-23,기아,니로 하이브리드,2018,SUV
2019-01-23,현대자동차,싼타페(SANTAFE),2019,SUV
2019-01-23,현대자동차,투싼(TUCSON),2019,SUV
2019-01-23,르노코리아,QM6,2017,SUV
2019-01-23,메르세데스 벤츠,GLC350 e 4Matic,2018,SUV
2019-01-24,기아,그랜드 카니발,2009,MPV/미니밴
2019-01-25,르노코리아,QM3,2016,SUV
2019-01-25,현대자동차,싼타페(SANTAFE),2016,SUV
2019-01-28,KG 모빌리티,티볼리,2016,SUV
2019-01-28,현대자동차,싼타페,2002,SUV
2019-01-29,현대자동차,싼타페(SANTAFE),2011,SUV
2019-01-29,르노코리아,QM3,2015,SUV
2019-01-29,현대자동차,코나 일렉트릭 (KONA ELECTRIC),2019,SUV
2019-01-31,KG 모빌리티,티볼리,2018,SUV
2019-01-31,기아,쏘렌토,2016,SUV
2019-01-31,기아,스포티지,2005,SUV
2019-02-01,KG 모빌리티,G4 렉스턴,2018,SUV
2019-02-07,현대자동차,투싼(TUCSON),2019,SUV
2019-02-07,기아,스포티지,2011,SUV
2019-02-07,현대자동차,투싼(TUCSON),2014,SUV
