접수일자,제작사,차명,모델년도
2019-01-02,메르세데스-벤츠,GLA45 AMG 4Matic,2015
2019-01-02,현대자동차,i40 Saloon,2012
2019-01-02,르노코리아,SM5,2008
2019-01-02,BMW,BMW 530i,2018
2019-01-02,BMW,BMW 520d,2016
2019-01-02,기아,모하비,2018
2019-01-02,현대자동차,그랜저(GRANDEUR),2018
2019-01-02,기아,니로 하이브리드,2018
2019-01-02,르노코리아,SM6,2017
2019-01-02,BMW,BMW 730Ld xDrive,2016
2019-01-02,한국지엠,윈스톰2.0S디젤2WD AT 7인승,2007
2019-01-02,BMW,BMW 520d,2010
2019-01-02,BMW,BMW 520d,2017
2019-01-02,아우디폭스바겐코리아,Passat 2.0 TDI,2007
2019-01-02,현대자동차,아반떼(AVANTE),2011
2019-01-02,기아,K7,2010
2019-01-02,현대자동차,쏘나타 하이브리드(SONATA HYBRID),2015
2019-01-02,현대자동차,쏘나타 하이브리드(SONATA HYBRID),2015
2019-01-03,기아,레이,2013
2019-01-03,현대자동차,쏠라티(SOLATI) 리무진,2018
2019-01-03,기아,모닝,2012
2019-01-03,한불모터스,푸조 508 1.6 e-HDi,2015
2019-01-03,르노코리아,SM6,2017
2019-01-03,한국지엠,올란도 2.0 LPG,2013
2019-01-03,아우디폭스바겐코리아,CC 2.0 TDI Blue Motion,2015
2019-01-03,BMW,BMW 520d xDrive,2018
2019-01-03,현대자동차,이-마이티,2011
2019-01-03,르노코리아,SM5 LPLi,2018
2019-01-03,기아,니로 PHEV,2018
2019-01-03,BMW,BMW 520i,2018
2019-01-03,르노코리아,SM5 LPLi,2006
2019-01-03,현대자동차,트라고엑시언트(TRAGO XCIENT),2015
2019-01-03,기아,카니발,2019
2019-01-03,현대자동차,트라고엑시언트(TRAGO XCIENT),2015
2019-01-03,한국지엠,크루즈 1.8 DOHC,2014
2019-01-03,크라이슬러코리아,짚그랜드체로키,2018
2019-01-04,메르세데스-벤츠,E200,2017
2019-01-04,기아,K5,2019
2019-01-04,크라이슬러코리아,짚 레니게이드 2.4,2018
2019-01-04,르노코리아,SM7,2016
2019-01-04,기아,K7,2014
2019-01-04,만트럭버스코리아,TGX,2017
2019-01-04,BMW,BMW 520d,2018
2019-01-04,기아,스포티지,2011
2019-01-04,기아,모닝,2009
2019-01-04,기아,K7,2018
2019-01-04,기아,레이,2014
2019-01-04,현대자동차,싼타페(SANTAFE),2014
2019-01-04,아우디폭스바겐코리아,Tiguan 2.0 TDI Blue Motion,2015
2019-01-04,아우디폭스바겐코리아,Tiguan 2.0 TDI Blue Motion,2015
2019-01-04,BMW,BMW X1 xDrive20d Entry,2018
2019-01-04,아우디폭스바겐코리아,Polo 5 FL 1.4 TDI BMT,2015
2019-01-04,혼다코리아,ODYSSEY,2015
2019-01-04,한국지엠,말리부 2.0 TURBO,2017
2019-01-04,아우디폭스바겐코리아,Tiguan 2.0 TDI Blue Motion,2014
2019-01-04,현대자동차,투싼(TUCSON),2019
2019-01-04,한국쓰리축공업,한쓰6.5톤극플러스트럭,2016
2019-01-04,아우디폭스바겐코리아,Tiguan 2.0 TDI Blue Motion,2015
2019-01-04,아우디폭스바겐코리아,Tiguan 2.0 TDI Blue Motion,2014
2019-01-07,BMW,BMW 520d xDrive,2016
2019-01-07,기아,모닝,2012
2019-01-07,르노코리아,QM5,2013
2019-01-07,현대자동차,싼타페(SANTAFE),2014
2019-01-07,만트럭버스코리아,TGX,2016
2019-01-07,현대자동차,아이오닉 일렉트릭(IONIQ ELECTRIC),2017
2019-01-07,BMW,BMW 520d,2018
2019-01-07,현대자동차,그랜저(GRANDEUR),2014
2019-01-07,BMW,BMW 530i,2018
2019-01-07,기아,K3,2013
2019-01-07,한국지엠,말리부 1.35 TURBO,2019
2019-01-07,한국지엠,말리부 1.5 TURBO,2018
2019-01-07,르노코리아,SM5,2008
2019-01-07,르노코리아,SM5,2009
2019-01-07,기아,K7,2017
2019-01-07,아우디폭스바겐코리아,Jetta 2.0 TDI BMT Premium,2015
2019-01-08,기아,레이,2012
2019-01-08,현대자동차,아반떼 (AVANTE),2014
2019-01-08,볼보자동차코리아,볼보 XC90D5 AWD,2018
2019-01-08,기아,스포티지,2017
2019-01-08,만트럭버스코리아,TGS,2015
2019-01-08,볼보자동차코리아,볼보 XC90D5 AWD,2018
2019-01-08,BMW,BMW 530i xDrive,2018
2019-01-08,한불모터스,푸조 407 HDi FAP A6,2008
2019-01-08,메르세데스-벤츠,Benz CLS350,2006
2019-01-08,현대자동차,NEW EF 쏘나타 LPG(NEW EF SONATA TAXI),2004
2019-01-09,재규어랜드로버코리아,재규어 XF 3.0D,2010
2019-01-09,한성특장,한성4.5톤플러스트럭,2014
2019-01-09,현대자동차,포터Ⅱ (PORTERⅡ),2015
2019-01-09,현대자동차,싼타페(SANTAFE),2013
2019-01-09,현대자동차,아반떼 (AVANTE),2012
2019-01-09,현대자동차,그랜저(GRANDEUR),2019
2019-01-09,현대자동차,쏘나타 (SONATA),2011
